,Unnamed: 0,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Community,industry
107,107,DOLOMITE PRODUCTS INC PENFIELD FACILITY,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1452WPNFLD746WH,212312,OLDCASTLE MATERIALS INC,3,Crushed and Broken Limestone Mining and Quarrying 
108,108,FLUSHING ASPHALT LLC,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,11354FLSHN12131,324121,,3,Asphalt Paving Mixture and Block Manufacturing 
109,109,FIBERMARK NA INC,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,13367BSCSC5592B,322299,FIBERMARK N.A. INC,3,All Other Converted Paper Product Manufacturing 
110,110,FIBERMARK NA INC,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,13615FBRMRBRIDG,322121,FIBERMARK N.A. INC,3,Paper (except Newsprint) Mills 
111,111,DOLOMITE PRODUCTS INC GATES FACILITY,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1462WGTSFC185BU,212312,OLDCASTLE MATERIALS INC,3,Crushed and Broken Limestone Mining and Quarrying 
112,112,GRIFFITH ENERGY - ALBION,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,14411GRFFT3819A,424710,SUPERIOR PLUS ENERGY SERVICES INC.,3,Petroleum Bulk Stations and Terminals 
113,113,KENNEDY VALVE,70,0.648447204969,0.0148216411368,0.538011695906,0.0137323668635,14901KNNDY1021E,331511,MCWANE INC,0,Iron Foundries 
114,114,JAMESVILLE MIX PLANT,70,1.0,0.00636795772692,0.524964336662,0.033556330231,13078JMSVL48SLV,324121,BARRETT INDUSTRIES CORP,3,Asphalt Paving Mixture and Block Manufacturing 
115,115,STRATHMORE PRODUCTS INC,70,0.812836438923,0.00782332826139,0.538799414348,0.0621282984941,13088STRTHBURRD,325510,,1,Paint and Coating Manufacturing
116,116,SUIT-KOTE JAMESTOWN,70,1.0,0.00636795772692,0.524964336662,0.033556330231,14701STKTC57LIS,324121,SUIT-KOTE CORP,3,Asphalt Paving Mixture and Block Manufacturing 
117,117,GRIFFITH ENERGY - WAYLAND,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,14572GRFFT119MA,424710,SUPERIOR PLUS ENERGY SERVICES INC.,3,Petroleum Bulk Stations and Terminals 
118,118,NATIONAL GRID EF BARRETT POWER STATION,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,11558FBRRTMCCAR,221112,NATIONAL GRID USA,3,Fossil Fuel Electric Power Generation 
119,119,CENTRAL ASPHALT,70,1.0,0.00636795772692,0.524964336662,0.033556330231,14891CNTRL20FAI,324121,SUIT-KOTE CORP,3,Asphalt Paving Mixture and Block Manufacturing 
120,120,GRIFFITH ENERGY - PORT HENRY,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,1297WGRFFT24DCK,424710,SUPERIOR PLUS ENERGU SERVICES INC.,3,Petroleum Bulk Stations and Terminals 
121,121,DOLOMITE PRODUCTS INC MANCHESTER FACILITY,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1443WMNCHS1719L,212312,OLDCASTLE MATERIALS INC,3,Crushed and Broken Limestone Mining and Quarrying 
122,122,CORTLAND ASPHALT PRODUCTS,70,1.0,0.00636795772692,0.524964336662,0.033556330231,13045CRTLN1911L,324121,SUIT-KOTE CORP,3,Asphalt Paving Mixture and Block Manufacturing 
123,123,LITCHFIELD MIX PLANT,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1349WLTCHF363RA,324121,BARRETT INDUSTRIES CORP,3,Asphalt Paving Mixture and Block Manufacturing 
124,124,GRIFFITH ENERGY - OLEAN,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,14760GRFFT1650E,424710,SUPERIOR PLUS ENERGY SERVICES INC.,3,Petroleum Bulk Stations and Terminals 
125,125,POLKVILLE CRUSHED STONE/SUIT-KOTE TERMINAL,70,1.0,0.00636795772692,0.524964336662,0.033556330231,13101PLKVLRT11R,324121,SUIT-KOTE CORP,3,Asphalt Paving Mixture and Block Manufacturing 
126,126,RCA ASPHALT LLC,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,10550RCSPH7EDIS,324121,,3,Asphalt Paving Mixture and Block Manufacturing 
127,127,DOLOMITE PRODUCTS INCWALWORTH FACILITY,70,1.0,0.00636795772692,0.524964336662,0.033556330231,1456WWLWRT12ATL,212312,OLDCASTLE MATERIALS INC,3,Crushed and Broken Limestone Mining and Quarrying 
128,128,CALLANAN INDUSTRIES INC SOUTH BETHLEHEM FACILITY,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,1216WCLLNN1SUTH,324121,OLDCASTLE INC,3,Asphalt Paving Mixture and Block Manufacturing 
129,129,CANAL ASPHALT INC,70,1.0,0.00440466321914,0.524964336662,0.0214063693628,10550CNLSP800CA,324121,,3,Asphalt Paving Mixture and Block Manufacturing 
